sales_fact_id,sales_fact_key,period,gross_sales,units
3763645,PBS Benefits and ServicesALECENSA LUNG TARGETED#S#NSWS#NSW-011226W011226W#20180201,2018-02-01,311364.0,45.0
3160972,PBS Benefits and ServicesALECENSA LUNG TARGETED#S#TASS#TAS-011226W011226W#20190201,2019-02-01,21023.0,3.0
4686923,PBS Benefits and ServicesCIMZIA AS#S#SAS#SA-10137M10137M#20181201,2018-12-01,5917.0,6.0
1276464,PBS Benefits and ServicesCIMZIA AS#S#TASS#TAS-10137M10137M#20180701,2018-07-01,3966.0,4.0
681140,PBS Benefits and ServicesCIMZIA AS#S#TASS#TAS-11319R11319R#20180701,2018-07-01,5934.0,2.0
125826,PBS Benefits and ServicesCIMZIA AS#S#WAS#WA-11319R11319R#20180901,2018-09-01,8976.0,3.0
16882989,PBS Benefits and ServicesCIMZIA PSA#S#ACTS#ACT-10896L10896L#20190101,2019-01-01,0.0,0.0
1850881,PBS Benefits and ServicesCIMZIA PSA#S#NSWS#NSW-10238W10238W#20180901,2018-09-01,49106.0,50.0
631162,PBS Benefits and ServicesCIMZIA PSA#S#QLDS#QLD-10909E10909E#20170901,2017-09-01,3511.0,1.0
6336818,PBS Benefits and ServicesCIMZIA PSA#S#QLDS#QLD-10909E10909E#20190201,2019-02-01,2967.0,1.0
2046573,PBS Benefits and ServicesCIMZIA PSA#S#TASS#TAS-10896L10896L#20180901,2018-09-01,975.0,1.0
4026830,PBS Benefits and ServicesCIMZIA RHEUMATOID ARTHRITIS#S#VICS#VIC-3425G3425G#20180201,2018-02-01,265792.0,226.0
4202947,PBS Benefits and ServicesCIMZIA RHEUMATOID ARTHRITIS#S#WAS#WA-10905Y10905Y#20180801,2018-08-01,2968.0,1.0
6528878,PBS Benefits and ServicesCOSENTYX AS#S#ACTS#ACT-10893H10893H#20170901,2017-09-01,3829.0,5.0
5928788,PBS Benefits and ServicesCOSENTYX AS#S#ACTS#ACT-10893H10893H#20180501,2018-05-01,1563.0,2.0
2430923,PBS Benefits and ServicesCOSENTYX AS#S#TASS#TAS-10890E10890E#20170601,2017-06-01,3163.0,1.0
2055418,PBS Benefits and ServicesCOSENTYX PSA#S#ACTS#ACT-10894J10894J#20181201,2018-12-01,18461.0,3.0
1312079,PBS Benefits and ServicesCOSENTYX PSA#S#ACTS#ACT-10895K10895K#20181201,2018-12-01,5469.0,7.0
3174387,PBS Benefits and ServicesCOSENTYX PSA#S#NSWS#NSW-10894J10894J#20180101,2018-01-01,117171.0,19.0
6860184,PBS Benefits and ServicesCOSENTYX PSA#S#NSWS#NSW-10898N10898N#20170601,2017-06-01,10915.0,14.0
478994,PBS Benefits and ServicesCOSENTYX PSA#S#QLDS#QLD-10895K10895K#20180301,2018-03-01,40580.0,45.0
4065827,PBS Benefits and ServicesCOSENTYX PSA#S#SAS#SA-10895K10895K#20181101,2018-11-01,16362.0,21.0
